hour,all_competitors,all_powers,winner_miner,winner_power,num_pending_transactions
0,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.2445413868850389, 0.27297917602671223, 0.11662632342041276, 0.991319178495382, 0.9610526417112183, 0.22627543168739025, 0.28864095446037247, 0.4048408895660838, 0.2896298798106983, 0.13371052832674107]",Miner_Node_8,0.4048408895660838,100
1,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.8356580939777284, 0.5424147995476316, 0.4031462479786929, 0.12964112705275765, 0.3071843420176947, 0.24034922674482892, 0.19312848805007593, 0.8816462361053878, 0.7772679577114204, 0.7980472011087637]",Miner_Node_10,0.7980472011087637,100
2,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.933136620751697, 0.46722625734766965, 0.9548446500378789, 0.7402275319522363, 0.5089727056269002, 0.5393020704127973, 0.19482948657209115, 0.5667694910463349, 0.9103756064815572, 0.8872116043880872]",Miner_Node_4,0.7402275319522363,100
3,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.3750261552927643, 0.7547180482629718, 0.3460933980725596, 0.43151903626885324, 0.5637135781575194, 0.2348957426214371, 0.5591363352821798, 0.37703240105162494, 0.3283404742068139, 0.44383488141284666]",Miner_Node_4,0.43151903626885324,100
4,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.7265535280222529, 0.5580197958202026, 0.9881740859149027, 0.21469585857229084, 0.9250196936224427, 0.9579471878574642, 0.32907475266412056, 0.33643868298440344, 0.7650737106036247, 0.37110825527664826]",Miner_Node_5,0.9250196936224427,100
5,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.2092200420446147, 0.44381558509666175, 0.8126872190857554, 0.651647878167272, 0.8029143044291702, 0.13134027096120457, 0.7457246218506318, 0.7233194386279983, 0.33333425045408793, 0.5482890382067651]",Miner_Node_8,0.7233194386279983,100
6,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.8340290165691175, 0.4498635050445843, 0.675980017533103, 0.7283272467262243, 0.4742928739365547, 0.33014391411375665, 0.8422301194999597, 0.4785739865561971, 0.16748557424297184, 0.31829280564745976]",Miner_Node_2,0.4498635050445843,100
7,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.7166247994465096, 0.7557735034614959, 0.8195457852507978, 0.17882937716400057, 0.8229820513289681, 0.3633787056305179, 0.4666372141374846, 0.9578560074447273, 0.6863107064384211, 0.6721975520510606]",Miner_Node_3,0.8195457852507978,92
8,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.7719409432555796, 0.7113711500880491, 0.7874472220108848, 0.3867683477135503, 0.8550101624497899, 0.47503557557263665, 0.18842892832452574, 0.18493051173531716, 0.11563228784189772, 0.17185917056665623]",Miner_Node_2,0.7113711500880491,71
9,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.6537115529081334, 0.10377135204504834, 0.6767312364757024, 0.8550731333217618, 0.2532731999182829, 0.8854768890235899, 0.3895073342445322, 0.3612596889246309, 0.47101358972776386, 0.9253607150193649]",Miner_Node_5,0.2532731999182829,49
10,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.7201729932057042, 0.8030909206856471, 0.11035735101816235, 0.7772691090976043, 0.36507854895990266, 0.13436777524973995, 0.8999813508840717, 0.2366014508745777, 0.7294540575071569, 0.26862168085565086]",Miner_Node_2,0.8030909206856471,49
11,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.9116361967949427, 0.9766975290531641, 0.4192611374979579, 0.41314382762374047, 0.9971837372436402, 0.3639881381187846, 0.953417637910884, 0.4809688381113617, 0.1823144916406237, 0.6513990010896616]",Miner_Node_5,0.9971837372436402,47
12,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.9613202481572315, 0.14028472463571276, 0.4910735273257707, 0.44980861764635316, 0.7586651491895596, 0.1581938533646337, 0.5143294383659207, 0.29161301577704646, 0.366665431236576, 0.6668066198960404]",Miner_Node_6,0.1581938533646337,46
13,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.10845996284367986, 0.29817105663770205, 0.6422216614945773, 0.12361757987300107, 0.501416348103416, 0.6161038859383365, 0.8676616507062916, 0.8078053952745136, 0.4470365298580856, 0.8511743506847559]",Miner_Node_6,0.6161038859383365,49
14,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.718071391273803, 0.787529973435682, 0.23577608743555822, 0.4717105199130196, 0.2047267155077196, 0.20865301573132122, 0.46729310115428746, 0.25381414562335086, 0.46973693000842986, 0.5203071805681198]",Miner_Node_7,0.46729310115428746,52
